Date,Open,High,Low,Close,Adj Close,Volume
2022-05-20,237.777771,240.000000,231.944443,237.166672,234.022705,28488157
2022-05-23,237.166672,237.166672,227.777771,231.500000,228.431137,24825189
2022-05-24,229.811111,229.816666,223.238892,223.355560,220.394684,27022824
2022-05-25,224.722229,225.588882,219.166672,221.655548,218.717194,25082787
2022-05-26,221.383331,223.238892,216.044449,216.672226,213.799927,25307658
2022-05-27,220.000000,227.300003,217.850006,219.111115,216.206482,33804343
2022-05-30,223.494446,226.222229,221.555557,223.222229,220.263107,22553179
2022-05-31,222.166672,228.883331,218.611115,226.666672,223.661896,32039139
2022-06-01,227.833328,239.444443,225.555557,236.127777,232.997574,34521226
2022-06-02,234.877777,246.544449,233.894440,242.666672,239.449783,31405993
2022-06-06,242.777771,260.561096,242.777771,258.883331,255.451462,34268050
2022-06-07,258.438873,259.438873,250.444443,255.000000,251.619629,22967116
2022-06-08,253.333328,255.555557,236.661118,255.555557,252.167816,72974570
2022-06-09,247.227783,248.888885,239.166672,239.638885,236.462143,36460328
2022-06-10,237.761108,253.222229,237.761108,252.222229,248.878662,44579404
2022-06-13,246.672226,252.322220,243.477783,246.127777,242.865005,33518847
2022-06-14,243.455551,245.888885,238.166672,245.455551,242.201691,31465922
2022-06-15,251.111115,265.555542,247.838882,258.700012,255.270599,68151504
2022-06-16,258.888885,263.394440,252.505554,255.722229,252.332275,43236406
2022-06-17,251.277771,272.600006,250.677780,270.033325,266.453644,50928964
2022-06-20,274.350006,286.727783,274.350006,281.399994,277.669647,45205713
2022-06-21,280.000000,284.933319,275.616669,282.138885,278.398743,26219894
2022-06-22,285.555542,290.138885,281.611115,281.666656,277.932770,26393711
2022-06-23,286.111115,298.316681,284.377777,298.316681,294.362061,31884951
2022-06-24,304.444458,313.055542,294.327789,313.055542,308.905548,34742223
2022-06-27,313.327789,313.872223,302.772217,305.000000,300.956818,29923169
2022-06-28,302.777771,305.200012,291.722229,302.222229,298.215851,33557880
2022-06-29,296.105560,301.388885,292.216675,295.855560,291.933594,26249374
2022-06-30,295.844452,299.888885,292.594452,296.666656,292.733948,23537014
2022-07-01,296.100006,297.777771,287.611115,290.355560,286.506500,22127004
2022-07-04,283.338898,292.038879,283.333344,290.000000,286.155670,21947776
2022-07-05,291.388885,297.872223,284.822235,291.038879,287.180756,27826927
2022-07-06,292.838898,296.377777,285.877777,290.000000,286.155670,23546433
2022-07-07,295.472229,308.083344,295.000000,305.555542,301.504974,44282584
2022-07-08,308.333344,313.872223,297.350006,300.555542,296.571259,29838616
2022-07-11,296.799988,297.500000,286.833344,288.055542,284.236938,24852675
2022-07-12,288.333344,291.833344,277.566681,279.827789,276.118286,27234444
2022-07-13,282.388885,301.794434,278.761108,299.444458,295.474884,44216049
2022-07-14,297.500000,312.222229,294.583344,308.894440,304.799622,35920159
2022-07-15,305.277771,313.027771,296.111115,296.111115,292.185730,28553074
2022-07-18,301.111115,306.694458,294.638885,306.477783,302.415009,25867899
2022-07-19,305.866669,305.866669,291.111115,291.450012,287.586426,29355679
2022-07-20,294.433319,297.299988,290.477783,292.222229,288.348419,14104630
2022-07-21,290.555542,298.916656,287.899994,289.444458,285.607452,15852758
2022-07-22,298.733337,302.216675,292.244446,295.555542,291.637543,25707144
2022-07-25,295.555542,296.638885,288.333344,289.861115,286.018616,15567944
2022-07-26,289.877777,293.333344,286.250000,290.000000,286.155670,14344684
2022-07-27,289.722229,290.055542,284.000000,286.222229,282.427948,16803950
2022-07-28,288.055542,292.611115,285.011108,286.444458,282.647247,16681528
2022-07-29,291.083344,291.111115,279.505554,282.555542,278.809875,21442467
2022-08-01,282.149994,297.666656,280.333344,297.177765,293.238251,29338606
2022-08-02,290.155548,295.799988,288.583344,291.038879,287.180756,21857407
2022-08-03,291.111115,296.600006,277.111115,280.000000,276.288208,30646024
2022-08-04,281.666656,282.827789,275.055542,278.277771,274.588806,20457131
2022-08-05,277.777771,285.500000,275.000000,280.916656,277.192719,21929533
2022-08-08,275.555542,281.211121,271.666656,278.611115,274.917755,16136447
2022-08-09,278.333344,288.111115,276.388885,284.200012,280.432556,20354166
2022-08-10,283.388885,284.888885,277.777771,279.988892,276.277252,14488349
2022-08-11,280.077789,285.011108,274.444458,283.333344,279.577362,17641278
2022-08-12,283.444458,284.444458,276.622223,278.888885,275.191833,13290849
2022-08-15,280.494446,290.555542,279.377777,286.722229,282.921326,24763573
2022-08-16,288.833344,298.888885,287.877777,291.000000,287.142395,28975260
2022-08-17,293.044434,305.538879,291.100006,303.888885,299.860413,33031182
2022-08-18,303.888885,311.111115,301.361115,302.666656,298.654388,25704079
2022-08-19,305.000000,305.383331,294.455566,295.555542,291.637543,19385294
2022-08-22,296.666656,308.700012,292.888885,306.405548,302.343719,25749649
2022-08-23,305.544434,313.700012,303.027771,309.383331,305.282013,23681118
2022-08-24,318.350006,319.444458,290.000000,291.111115,287.252014,54123109
2022-08-25,291.666656,292.516663,280.605560,285.555542,281.770111,32431541
2022-08-26,285.000000,288.322235,279.444458,281.544434,277.812164,21990571
2022-08-29,279.438873,281.544434,275.733337,278.888885,275.191833,20269787
2022-08-30,278.888885,278.888885,269.888885,273.055542,269.435822,28108942
2022-08-31,267.605560,272.111115,263.622223,268.333344,264.776215,31410284
2022-09-01,266.666656,269.444458,259.255554,259.744446,256.301178,27857806
2022-09-02,263.822235,264.444458,256.544434,259.033325,255.599487,20809578
2022-09-05,256.672211,262.222229,255.005554,260.200012,256.750702,16398016
